horizon,n_features,r2,dropped
24,26,0.3235474075103749,
24,25,0.32369453239913537,aqi_change_rate
24,24,0.32438258232851713,"rolling_30day_avg, aqi_change_rate"
24,23,0.3243535031802497,"hour, rolling_30day_avg, aqi_change_rate"
24,22,0.32287446905625095,"co, hour, rolling_30day_avg, aqi_change_rate"
24,21,0.3229041835461651,"aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
24,20,0.32439570678380836,"aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
24,19,0.3196533941646137,"so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
24,18,0.31615906051126175,"temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
24,17,0.31976082260511296,"wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
24,16,0.32391018003144056,"no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
24,15,0.325438264347091,"is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
24,14,0.32562951528636486,"pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
24,13,0.3284288192822953,"pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
24,12,0.3269486021918683,"pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
24,11,0.3288996385978692,"pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
24,10,0.32950430262712493,"pm2_5_lag_72h, pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
24,9,0.339718237293005,"o3, pm2_5_lag_72h, pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
24,8,0.33710892642720003,"aqi_rolling_6h, o3, pm2_5_lag_72h, pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
24,7,0.3450300106478337,"rolling_30day_std, aqi_rolling_6h, o3, pm2_5_lag_72h, pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
